gene	gene_id	lof.oe_ci.upper	is_constrained
ACSL1	ENSG00000151726	0.555	FALSE
ACSL3	ENSG00000123983	0.605	FALSE
ACSL5	ENSG00000197142	0.702	FALSE
ACSL6	ENSG00000164398	0.584	FALSE
ACSM1	ENSG00000166743	1.248	FALSE
ACSM2A	ENSG00000183747	1.233	FALSE
ACSM2B	ENSG00000066813	0.956	FALSE
ACSM3	ENSG00000005187	0.999	FALSE
ACSM4	ENSG00000215009	1.072	FALSE
ACSM5	ENSG00000183549	1.003	FALSE
ACSM6	ENSG00000173124	0.912	FALSE
ACSS1	ENSG00000154930	0.712	FALSE
ACSS2	ENSG00000131069	0.785	FALSE
ACSS3	ENSG00000111058	0.931	FALSE
ACTA1	ENSG00000143632	0.931	FALSE
ACTA2	ENSG00000107796	0.472	FALSE
ACTB	ENSG00000075624	0.193	TRUE
ACTBL2	ENSG00000169067	1.624	FALSE
ACTC1	ENSG00000159251	0.511	FALSE
ACTG1	ENSG00000184009	0.617	FALSE
ACTG2	ENSG00000163017	0.626	FALSE
ACTL10	ENSG00000288649	1.947	FALSE
ACTL6A	ENSG00000136518	0.186	TRUE
ACTL6B	ENSG00000077080	0.954	FALSE
ACTL7A	ENSG00000187003	1.182	FALSE
ACTL7B	ENSG00000148156	1.414	FALSE
ACTL8	ENSG00000117148	0.756	FALSE
ACTL9	ENSG00000181786	1.575	FALSE
ACTN1	ENSG00000072110	0.331	TRUE
ACTN2	ENSG00000077522	0.432	FALSE
ACTN3	ENSG00000248746	0.944	FALSE
ACTN4	ENSG00000130402	0.238	TRUE
ACTR10	ENSG00000131966	1.148	FALSE
ACTR1A	ENSG00000138107	0.337	TRUE
ACTR1B	ENSG00000115073	0.968	FALSE
ACTR2	ENSG00000138071	0.177	TRUE
ACTR3	ENSG00000115091	0.461	FALSE
ACTR3B	ENSG00000133627	0.328	TRUE
ACTR3C	ENSG00000106526	1.046	FALSE
ACTR5	ENSG00000101442	0.986	FALSE
ACTR6	ENSG00000075089	1.017	FALSE
ACTR8	ENSG00000113812	1.033	FALSE
ACTRT2	ENSG00000169717	1.307	FALSE
ACTRT3	ENSG00000184378	1.242	FALSE
ACVR1	ENSG00000115170	0.835	FALSE
ACVR1B	ENSG00000135503	0.403	FALSE
ACVR1C	ENSG00000123612	0.6	FALSE
ACVR2A	ENSG00000121989	0.222	TRUE
ACVR2B	ENSG00000114739	0.408	FALSE
ACVRL1	ENSG00000139567	0.57	FALSE
ACY1	ENSG00000243989	0.9	FALSE
ACY3	ENSG00000132744	1.196	FALSE
ACYP1	ENSG00000119640	1.301	FALSE
ACYP2	ENSG00000170634	1.728	FALSE
ADA	ENSG00000196839	1.184	FALSE
ADA2	ENSG00000093072	0.879	FALSE
ADAD1	ENSG00000164113	0.778	FALSE
ADAD2	ENSG00000140955	1.524	FALSE
ADAL	ENSG00000168803	1.204	FALSE
ADAM10	ENSG00000137845	0.276	TRUE
ADAM11	ENSG00000073670	0.584	FALSE
ADAM12	ENSG00000148848	0.818	FALSE
ADAM15	ENSG00000143537	0.826	FALSE
ADAM17	ENSG00000151694	0.565	FALSE
ADAM18	ENSG00000168619	1.585	FALSE
ADAM19	ENSG00000135074	0.739	FALSE
ADAM2	ENSG00000104755	1.188	FALSE
ADAM20	ENSG00000134007	1.933	FALSE
ADAM21	ENSG00000139985	1.913	FALSE
ADAM22	ENSG00000008277	0.518	FALSE
ADAM23	ENSG00000114948	0.416	FALSE
ADAM28	ENSG00000042980	1.23	FALSE
ADAM29	ENSG00000168594	1.939	FALSE
ADAM30	ENSG00000134249	1.903	FALSE
ADAM32	ENSG00000197140	1.041	FALSE
ADAM33	ENSG00000149451	1.291	FALSE
ADAM7	ENSG00000069206	1.16	FALSE
ADAM8	ENSG00000151651	1.423	FALSE
ADAM9	ENSG00000168615	0.575	FALSE
ADAMDEC1	ENSG00000134028	1.234	FALSE
ADAMTS1	ENSG00000154734	0.329	TRUE
ADAMTS10	ENSG00000142303	0.467	FALSE
ADAMTS12	ENSG00000151388	0.782	FALSE
ADAMTS13	ENSG00000160323	0.917	FALSE
ADAMTS14	ENSG00000138316	0.966	FALSE
ADAMTS15	ENSG00000166106	0.599	FALSE
ADAMTS16	ENSG00000145536	0.794	FALSE
ADAMTS17	ENSG00000140470	0.966	FALSE
ADAMTS18	ENSG00000140873	1.055	FALSE
ADAMTS19	ENSG00000145808	0.83	FALSE
ADAMTS2	ENSG00000087116	0.568	FALSE
ADAMTS20	ENSG00000173157	0.947	FALSE
ADAMTS3	ENSG00000156140	0.67	FALSE
ADAMTS4	ENSG00000158859	0.732	FALSE
ADAMTS5	ENSG00000154736	0.818	FALSE
ADAMTS6	ENSG00000049192	0.228	TRUE
ADAMTS7	ENSG00000136378	0.761	FALSE
ADAMTS8	ENSG00000134917	1.076	FALSE
ADAMTS9	ENSG00000163638	0.469	FALSE
ADAMTSL1	ENSG00000178031	0.744	FALSE
ADAMTSL2	ENSG00000197859	0.679	FALSE
ADAMTSL3	ENSG00000156218	0.692	FALSE
ADAMTSL4	ENSG00000143382	0.92	FALSE
ADAMTSL5	ENSG00000185761	1.407	FALSE
ADAP1	ENSG00000105963	0.949	FALSE
ADAP2	ENSG00000184060	1.031	FALSE
ADAR	ENSG00000160710	0.449	FALSE
ADARB1	ENSG00000197381	0.323	TRUE
ADARB2	ENSG00000185736	0.681	FALSE
ADAT1	ENSG00000065457	1.193	FALSE
ADAT2	ENSG00000189007	1.326	FALSE
ADAT3	ENSG00000213638	1.929	FALSE
ADCK1	ENSG00000063761	0.916	FALSE
ADCK2	ENSG00000133597	0.921	FALSE
ADCK5	ENSG00000173137	0.999	FALSE
ADCY1	ENSG00000164742	0.346	TRUE
ADCY10	ENSG00000143199	0.922	FALSE
ADCY2	ENSG00000078295	0.329	TRUE
ADCY3	ENSG00000138031	0.695	FALSE
ADCY4	ENSG00000129467	1.089	FALSE
ADCY5	ENSG00000173175	0.326	TRUE
ADCY6	ENSG00000174233	0.639	FALSE
ADCY7	ENSG00000121281	0.738	FALSE
ADCY8	ENSG00000155897	0.586	FALSE
ADCY9	ENSG00000162104	0.603	FALSE
ADCYAP1	ENSG00000141433	0.864	FALSE
ADCYAP1R1	ENSG00000078549	0.797	FALSE
ADD1	ENSG00000087274	0.387	TRUE
ADD2	ENSG00000075340	0.388	TRUE
ADD3	ENSG00000148700	0.395	TRUE
ADGB	ENSG00000118492	0.941	FALSE
ADGRA1	ENSG00000197177	1.025	FALSE
ADGRA2	ENSG00000020181	0.943	FALSE
ADGRA3	ENSG00000152990	0.607	FALSE
ADGRB1	ENSG00000181790	0.372	TRUE
ADGRB2	ENSG00000121753	0.383	TRUE
ADGRB3	ENSG00000135298	0.246	TRUE
ADGRD1	ENSG00000111452	0.826	FALSE
ADGRE1	ENSG00000174837	0.951	FALSE
ADGRE2	ENSG00000127507	1.028	FALSE
ADGRE3	ENSG00000131355	1.265	FALSE
ADGRE5	ENSG00000123146	0.973	FALSE
ADGRF1	ENSG00000153292	1.247	FALSE
ADGRF3	ENSG00000173567	1.069	FALSE
ADGRF4	ENSG00000153294	1.36	FALSE
ADGRF5	ENSG00000069122	0.719	FALSE
ADGRG1	ENSG00000205336	0.871	FALSE
ADGRG3	ENSG00000182885	0.93	FALSE
ADGRG5	ENSG00000159618	0.982	FALSE
ADGRG6	ENSG00000112414	0.63	FALSE
ADGRG7	ENSG00000144820	1.194	FALSE
ADGRL1	ENSG00000072071	0.302	TRUE
ADGRL2	ENSG00000117114	0.301	TRUE
ADGRL3	ENSG00000150471	0.451	FALSE
ADGRL4	ENSG00000162618	1.44	FALSE
ADGRV1	ENSG00000164199	0.637	FALSE
ADH1A	ENSG00000187758	1.104	FALSE
ADH1B	ENSG00000196616	1.013	FALSE
ADH1C	ENSG00000248144	0.991	FALSE
ADH4	ENSG00000198099	1.077	FALSE
ADH5	ENSG00000197894	1.191	FALSE
ADH6	ENSG00000172955	1.263	FALSE
ADH7	ENSG00000196344	1.429	FALSE
ADHFE1	ENSG00000147576	0.966	FALSE
ADI1	ENSG00000182551	1.713	FALSE
ADIG	ENSG00000182035	1.845	FALSE
ADIPOQ	ENSG00000181092	1.655	FALSE
ADIPOR1	ENSG00000159346	0.571	FALSE
ADIPOR2	ENSG00000006831	0.636	FALSE
ADIRF	ENSG00000148671	1.788	FALSE
ADK	ENSG00000156110	0.893	FALSE
ADM	ENSG00000148926	0.581	FALSE
ADM2	ENSG00000128165	1.901	FALSE
ADM5	ENSG00000224420	1.818	FALSE
ADNP	ENSG00000101126	0.106	TRUE
ADNP2	ENSG00000101544	0.896	FALSE
ADO	ENSG00000181915	1.476	FALSE
ADORA1	ENSG00000163485	0.598	FALSE
ADORA2A	ENSG00000128271	0.846	FALSE
ADORA2B	ENSG00000170425	1.412	FALSE
ADORA3	ENSG00000282608	1.204	FALSE
ADPGK	ENSG00000159322	0.937	FALSE
ADPRH	ENSG00000144843	1.165	FALSE
ADPRHL1	ENSG00000153531	1.264	FALSE
ADPRM	ENSG00000170222	0.959	FALSE
ADPRS	ENSG00000116863	1.155	FALSE
ADRA1A	ENSG00000120907	1.343	FALSE
ADRA1B	ENSG00000170214	1.449	FALSE
ADRA1D	ENSG00000171873	1.772	FALSE
ADRA2A	ENSG00000150594	1.783	FALSE
ADRA2B	ENSG00000274286	1.556	FALSE
ADRA2C	ENSG00000184160	1.116	FALSE
ADRB1	ENSG00000043591	1.939	FALSE
ADRB2	ENSG00000169252	0.901	FALSE
ADRB3	ENSG00000188778	1.952	FALSE
ADRM1	ENSG00000130706	0.188	TRUE
ADSL	ENSG00000239900	0.915	FALSE
ADSS1	ENSG00000185100	1.245	FALSE
ADSS2	ENSG00000035687	0.646	FALSE
ADTRP	ENSG00000111863	1.074	FALSE
AEBP1	ENSG00000106624	0.735	FALSE
AEBP2	ENSG00000139154	0.461	FALSE
AEN	ENSG00000181026	1.666	FALSE
AFAP1	ENSG00000196526	0.918	FALSE
AFAP1L1	ENSG00000157510	0.944	FALSE
AFAP1L2	ENSG00000169129	0.605	FALSE
AFDN	ENSG00000130396	0.398	TRUE
AFF1	ENSG00000172493	0.49	FALSE
AFF3	ENSG00000144218	0.318	TRUE
AFF4	ENSG00000072364	0.114	TRUE
AFG1L	ENSG00000135537	1.018	FALSE
AFG3L2	ENSG00000141385	0.724	FALSE
AFM	ENSG00000079557	1.44	FALSE
AFMID	ENSG00000183077	1.018	FALSE
AFP	ENSG00000081051	0.963	FALSE
AFTPH	ENSG00000119844	0.207	TRUE
AGA	ENSG00000038002	0.938	FALSE
AGAP1	ENSG00000157985	0.366	TRUE
AGAP2	ENSG00000135439	0.414	FALSE
AGAP3	ENSG00000133612	0.359	TRUE
AGAP4	ENSG00000188234	0.761	FALSE
AGAP5	ENSG00000172650	0.717	FALSE
AGAP6	ENSG00000204149	0.757	FALSE
AGAP9	ENSG00000204172	0.823	FALSE
AGBL1	ENSG00000273540	1.313	FALSE
AGBL2	ENSG00000165923	0.944	FALSE
AGBL3	ENSG00000146856	0.893	FALSE
AGBL4	ENSG00000186094	1.107	FALSE
AGBL5	ENSG00000084693	0.709	FALSE
AGER	ENSG00000204305	1.068	FALSE
AGFG1	ENSG00000173744	0.286	TRUE
AGFG2	ENSG00000106351	0.873	FALSE
AGGF1	ENSG00000164252	0.808	FALSE
AGK	ENSG00000006530	0.918	FALSE
AGL	ENSG00000162688	0.72	FALSE
AGMAT	ENSG00000116771	1.712	FALSE
AGMO	ENSG00000187546	1.561	FALSE
AGO1	ENSG00000092847	0.164	TRUE
AGO2	ENSG00000123908	0.102	TRUE
AGO3	ENSG00000126070	0.232	TRUE
AGO4	ENSG00000134698	0.393	TRUE
AGPAT1	ENSG00000204310	0.367	TRUE
AGPAT2	ENSG00000169692	1.199	FALSE
AGPAT3	ENSG00000160216	0.21	TRUE
AGPAT4	ENSG00000026652	0.461	FALSE
AGPAT5	ENSG00000155189	1.391	FALSE
AGPS	ENSG00000018510	0.408	FALSE
AGR2	ENSG00000106541	1.34	FALSE
AGR3	ENSG00000173467	1.932	FALSE
AGRN	ENSG00000188157	0.73	FALSE
AGRP	ENSG00000159723	1.091	FALSE
AGT	ENSG00000135744	1.202	FALSE
AGTPBP1	ENSG00000135049	0.556	FALSE
AGTR1	ENSG00000144891	1.113	FALSE
AGTRAP	ENSG00000177674	0.838	FALSE
AGXT	ENSG00000172482	1.251	FALSE
AGXT2	ENSG00000113492	1.185	FALSE
AHCTF1	ENSG00000153207	0.142	TRUE
AHCY	ENSG00000101444	0.727	FALSE
AHCYL1	ENSG00000168710	0.34	TRUE
AHCYL2	ENSG00000158467	0.516	FALSE
AHDC1	ENSG00000126705	0.168	TRUE
AHI1	ENSG00000135541	1.069	FALSE
AHNAK	ENSG00000124942	0.793	FALSE
AHNAK2	ENSG00000185567	0.917	FALSE
AHR	ENSG00000106546	0.606	FALSE
AHRR	ENSG00000063438	0.897	FALSE
AHSA1	ENSG00000100591	0.505	FALSE
AHSG	ENSG00000145192	1.042	FALSE
AHSP	ENSG00000169877	1.947	FALSE
AICDA	ENSG00000111732	1.144	FALSE
AIDA	ENSG00000186063	0.545	FALSE
AIF1	ENSG00000204472	1.407	FALSE
AIF1L	ENSG00000126878	1.102	FALSE
AIFM2	ENSG00000042286	1.404	FALSE
AIFM3	ENSG00000183773	1.109	FALSE
AIG1	ENSG00000146416	1.279	FALSE
AIM2	ENSG00000163568	1.421	FALSE
AIMP1	ENSG00000164022	0.931	FALSE
AIMP2	ENSG00000106305	1.107	FALSE
AIP	ENSG00000110711	0.626	FALSE
AIPL1	ENSG00000129221	1.01	FALSE
AIRE	ENSG00000160224	1.169	FALSE
AJAP1	ENSG00000196581	0.376	TRUE
AJM1	ENSG00000232434	1.162	FALSE
AJUBA	ENSG00000129474	0.581	FALSE
AK1	ENSG00000106992	0.873	FALSE
AK2	ENSG00000004455	0.954	FALSE
AK3	ENSG00000147853	1.602	FALSE
AK4	ENSG00000162433	0.942	FALSE
AK4P3	ENSG00000233381	NA	NA
AK5	ENSG00000154027	0.5	FALSE
AK6	ENSG00000085231	1.377	FALSE
AK7	ENSG00000140057	0.945	FALSE
AK8	ENSG00000165695	1.12	FALSE
AK9	ENSG00000155085	0.848	FALSE
AKAIN1	ENSG00000231824	1.506	FALSE
AKAP1	ENSG00000121057	0.526	FALSE
AKAP10	ENSG00000108599	0.381	TRUE
AKAP11	ENSG00000023516	0.319	TRUE
AKAP12	ENSG00000131016	0.496	FALSE
AKAP13	ENSG00000170776	0.362	TRUE
AKAP3	ENSG00000111254	0.62	FALSE
AKAP5	ENSG00000179841	0.698	FALSE
AKAP6	ENSG00000151320	0.367	TRUE
AKAP7	ENSG00000118507	1.33	FALSE
AKAP8	ENSG00000105127	0.48	FALSE
AKAP8L	ENSG00000011243	0.592	FALSE
AKAP9	ENSG00000127914	0.662	FALSE
AKIP1	ENSG00000166452	1.324	FALSE
AKIRIN1	ENSG00000174574	0.435	FALSE
AKIRIN2	ENSG00000135334	0.459	FALSE
AKNA	ENSG00000106948	0.631	FALSE
AKNAD1	ENSG00000162641	0.912	FALSE
AKR1A1	ENSG00000117448	0.871	FALSE
AKR1B1	ENSG00000085662	0.75	FALSE
AKR1B10	ENSG00000198074	1.324	FALSE
AKR1B15	ENSG00000227471	1.527	FALSE
AKR1C1	ENSG00000187134	1.255	FALSE
AKR1C2	ENSG00000151632	1.035	FALSE
AKR1C3	ENSG00000196139	1.34	FALSE
AKR1C4	ENSG00000198610	1.337	FALSE
AKR1D1	ENSG00000122787	1.157	FALSE
AKR1E2	ENSG00000165568	1.302	FALSE
AKR7A2	ENSG00000053371	1.062	FALSE
AKR7A3	ENSG00000162482	1.409	FALSE
AKR7L	ENSG00000211454	NA	NA
AKT1	ENSG00000142208	0.474	FALSE
AKT1S1	ENSG00000204673	1.49	FALSE
AKT2	ENSG00000105221	0.398	TRUE
AKT3	ENSG00000117020	0.482	FALSE
AKTIP	ENSG00000166971	0.612	FALSE
ALAD	ENSG00000148218	0.63	FALSE
ALAS1	ENSG00000023330	0.649	FALSE
ALB	ENSG00000163631	0.577	FALSE
ALCAM	ENSG00000170017	0.474	FALSE
ALDH16A1	ENSG00000161618	1.183	FALSE
ALDH18A1	ENSG00000059573	0.617	FALSE
ALDH1A1	ENSG00000165092	0.542	FALSE
ALDH1A2	ENSG00000128918	0.581	FALSE
ALDH1A3	ENSG00000184254	0.667	FALSE
ALDH1B1	ENSG00000137124	1.029	FALSE
ALDH1L1	ENSG00000144908	0.822	FALSE
ALDH1L2	ENSG00000136010	0.974	FALSE
ALDH2	ENSG00000111275	0.989	FALSE
ALDH3A1	ENSG00000108602	1.246	FALSE
ALDH3A2	ENSG00000072210	0.972	FALSE
ALDH3B1	ENSG00000006534	1.217	FALSE
ALDH3B2	ENSG00000132746	1.534	FALSE
ALDH4A1	ENSG00000159423	0.902	FALSE
ALDH5A1	ENSG00000112294	0.852	FALSE
ALDH6A1	ENSG00000119711	0.835	FALSE
ALDH7A1	ENSG00000164904	0.983	FALSE
ALDH8A1	ENSG00000118514	1.113	FALSE
ALDH9A1	ENSG00000143149	0.887	FALSE
ALDOA	ENSG00000149925	0.821	FALSE
ALDOB	ENSG00000136872	1.183	FALSE
ALDOC	ENSG00000109107	0.785	FALSE
ALG1	ENSG00000033011	1.419	FALSE
ALG10	ENSG00000139133	0.901	FALSE
ALG10B	ENSG00000175548	1.018	FALSE
ALG11	ENSG00000253710	0.908	FALSE
ALG12	ENSG00000182858	0.965	FALSE
ALG14	ENSG00000172339	1.055	FALSE
ALG1L2	ENSG00000251287	1.607	FALSE
ALG2	ENSG00000119523	1.408	FALSE
ALG3	ENSG00000214160	0.972	FALSE
ALG5	ENSG00000120697	0.823	FALSE
ALG6	ENSG00000088035	0.892	FALSE
ALG8	ENSG00000159063	0.909	FALSE
ALG9	ENSG00000086848	0.853	FALSE
ALK	ENSG00000171094	0.562	FALSE
ALKAL1	ENSG00000196711	1.944	FALSE
ALKAL2	ENSG00000189292	1.297	FALSE
ALKBH1	ENSG00000100601	1.128	FALSE
ALKBH2	ENSG00000189046	1.392	FALSE
ALKBH3	ENSG00000166199	1.434	FALSE
ALKBH4	ENSG00000160993	1.035	FALSE
ALKBH5	ENSG00000091542	0.19	TRUE
ALKBH6	ENSG00000239382	1.152	FALSE
ALKBH7	ENSG00000125652	1.675	FALSE
ALKBH8	ENSG00000137760	0.797	FALSE
ALLC	ENSG00000151360	1.144	FALSE
ALMS1	ENSG00000116127	0.825	FALSE
ALOX12	ENSG00000108839	0.921	FALSE
ALOX12B	ENSG00000179477	0.783	FALSE
ALOX15	ENSG00000161905	1.117	FALSE
ALOX15B	ENSG00000179593	1.263	FALSE
ALOX5	ENSG00000012779	0.933	FALSE
ALOX5AP	ENSG00000132965	0.795	FALSE
ALOXE3	ENSG00000179148	1.036	FALSE
ALPG	ENSG00000163286	1.103	FALSE
ALPI	ENSG00000163295	1.163	FALSE
ALPK1	ENSG00000073331	1.079	FALSE
